post_id,post_date,content,group_name,group_url,author_name,author_url,reaction,share,comment,post_url,image_urls,video_url
2970907443116318,2026-06-30T15:47:11.000Z,,HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Thư Minh,https://www.facebook.com/profile.php?id=61591646665589,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970907443116318/,,
2970853343121728,2026-06-30T14:44:02.000Z,Link: https://s.shopee.vn/1BKNuOBsLr M2 Tiny Winy - Set áo tơ voan + chân váy chữ A voan tơ lông vũ,HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Shop Xinh,https://www.facebook.com/profile.php?id=61590251062284,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970853343121728/,,
2970823393124723,2026-06-30T14:07:42.000Z,,HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Mẹ Sóc Daily,https://www.facebook.com/profile.php?id=61590899074465,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970823393124723/,,
2970812686459127,2026-06-30T13:54:33.000Z,"GẤP GẤP GẤP 😱Quạt sò lạnh GOOJODOQ đại hạ giá 178k tin được không Link mua hàng👉 https://s.shopee.vn/7AbabADcov Siêu Mát, Siêu Bền luôn MUA VỀ BÁN SIÊU LỢI NHUẬN",HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,HappyMango7998,,1,0,0,https://www.facebook.com/groups/134165786790512/posts/2970812686459127/,,
2970767673130295,2026-06-30T13:03:21.000Z,,HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Ở đây có đồ xinh,https://www.facebook.com/profile.php?id=61558666228696,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970767673130295/,,
2970743229799406,2026-06-30T12:34:17.000Z,Sắm mấy cái giỏ này là nhà gọn hẳn Săn ngay các mom https://s.shopee.vn/30m1wtip4t,HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Four Season Men’s,https://www.facebook.com/profile.php?id=61584755074705,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970743229799406/,,
2970741966466199,2026-06-30T12:32:41.000Z,"Em sẵn 2 tủ này ở HN hàng mới nguyên chưa qua sử dụng Tủ gỗ bền đẹp, chất lượng, bản lề hơi giảm chấn ko gây tiếng ồn Freeship HN ạ, các tỉnh e có hỗ trợ phí ship",HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Nguyễn Bảo Yến,https://www.facebook.com/nguyen.bao.yen.418273,0,0,10,https://www.facebook.com/groups/134165786790512/posts/2970741966466199/,https://scontent.fsgn21-1.fna.fbcdn.net/v/t39.30808-6/734022937_1714606076404875_8260911929578411054_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=p960x960&_nc_cat=100&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=g4jKKprrV4oQ7kNvwGcIEvq&_nc_oc=AdouxEIccEqDvRoFXjNN7L-aA0h-lIYNWZZNGiMp1C-1ULzAflHnZqX01SGFNqjSFPc&_nc_zt=23&_nc_ht=scontent.fsgn21-1.fna&_nc_gid=BigRQn-PEOTmqivyCow8Yw&_nc_ss=7b2a8&oh=00_AQDvKPrwvkPI2ocMIUjhWfmhR03fQYuvZs_FNp5IMKviNA&oe=6A4DA0EF|https://scontent.fsgn21-1.fna.fbcdn.net/v/t39.30808-6/736494116_1714606086404874_4424575650938238226_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=p960x960&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=_8NvQSdwkA0Q7kNvwGcsqBK&_nc_oc=Adrc4nl-DncS_thfyI6NZ3cVdNR21GHbKHBIc1b9h6BPU9xMBHTZAlYeYIFg5qw8BQM&_nc_zt=23&_nc_ht=scontent.fsgn21-1.fna&_nc_gid=BigRQn-PEOTmqivyCow8Yw&_nc_ss=7b2a8&oh=00_AQAGYe7Q4zWJ1_pdTtW6qMkBWAbHu2cbBRiASG0cvPrD1Q&oe=6A4DA7E2,
2970735569800172,2026-06-30T12:25:47.000Z,Các bạn đã nhận tiền Facebook chưa,HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Nguyễn Văn Thắng,https://www.facebook.com/profile.php?id=100009867670659,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970735569800172/,,
2970579039815825,2026-06-30T09:03:03.000Z,"Mình uống thử dòng Vinamilk Green Farm Cao Đạm được hơn 1 tuần. Cảm nhận đầu tiên là sữa thơm, vị nhạt vừa phải, không quá ngọt nên khá dễ uống. Mỗi hộp có 12,5g đạm, ít béo nên uống buổi sáng hoặc sau khi tập thấy tiện. Ai thích sữa không ngọt gắt thì có thể thử. Mình để link ở dưới cho mọi người tham khảo nhé. 👇",HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Mỹ Mỹ,https://www.facebook.com/linh.tran.256165,0,0,1,https://www.facebook.com/groups/134165786790512/posts/2970579039815825/,https://scontent.fsgn21-1.fna.fbcdn.net/v/t39.30808-6/732985109_999705242917096_8730821881274997748_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=p960x960&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=9ll10uM-QsUQ7kNvwHzqtbc&_nc_oc=Ado0vT4ga9ZX7RCybbBT2SttkJNBpWfB-XaSugNcm5pHzFT_lIakPGTGo7AZEjrgpM4&_nc_zt=23&_nc_ht=scontent.fsgn21-1.fna&_nc_gid=sNH93ZJ6ip1i9ZGoxTB2eg&_nc_ss=7b2a8&oh=00_AQAjw43tpLLfZU7tBoiMFapunHaA19Guv5bj-4Ta_wLYfQ&oe=6A4D9354|https://scontent.fsgn21-1.fna.fbcdn.net/v/t39.30808-6/734515414_999705282917092_269243094986806776_n.jpg?stp=dst-jpg_tt6&cstp=mx1290x1716&ctp=p960x960&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=BrM_NikbSP8Q7kNvwHvlBya&_nc_oc=Adpj0GjTc3ue2E2PUdLTiDTGPDukaSrC4i04tvj5avpPyV4ya5UwfP2IynM1_36mIEs&_nc_zt=23&_nc_ht=scontent.fsgn21-1.fna&_nc_gid=sNH93ZJ6ip1i9ZGoxTB2eg&_nc_ss=7b2a8&oh=00_AQA0LVKd324AmCdqFgBlcbAQHBCOOnIpKLul0JYNOw4hRQ&oe=6A4DA270,
2970514289822300,2026-06-30T07:34:31.000Z,"‼️ #d3k2 nhà #lineabon shop Mẹ Cá Heo thì chuẩn khỏi bàn, date xa https://s.shopee.vn/80AhZHavS6 👉🏻 Mua 1 chai D3k2 tặng 4: ~ 1 gấu bông lineabon ~ 1 dao + 1 thớt kháng khuẩn ~ 1 bảng chữ cái điện tử",HỘI MẸ BẦU - REVIEW BỈM SỮA - ĐỒ DÙNG CHO BÉ 🍼👶💖,https://www.facebook.com/groups/134165786790512/,Bé Bông,https://www.facebook.com/profile.php?id=61572061495593,0,0,0,https://www.facebook.com/groups/134165786790512/posts/2970514289822300/,,
